id,name,album,album_id,artists,explicit,danceability,duration_ms,release_date,album_year
5PmePoyUgFVUmF2WrJr4aS,Downtown Life,Ooh Yeah!,4EEyCnj2fZu1eInXpLfZZW,Daryl Hall & John Oates,False,0.66,268467,1988-07-27,1988
1hXtrFuFWhok7N2rMGW3bh,Ases y Tercia de Reyes,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),13NCFsw0EMj0JHwC9KaYwK,Juan Gabriel,False,0.604,112600,1996-01-11,1996
2Ygx2Z2mn7NzX7RVw1b2mR,Grace 1,Grace,5m6yAsRWDK60siXnrAi10y,Tribes Of Neurot,False,0.2,119467,1999-07-13,1999
1LiFvnU68FDR7JKTdxgcvD,So Far Away,The Madding Crowd,4BcmNEt6VK0KBVsVY8yClD,Nine Days,False,0.4529999999999999,236101,2000-05-16,2000
4WAQc8xXKNinvCyV7SFt8D,Insomnia - Monster Mix,Forever Faithless - The Greatest Hits,2Vcq2BbEjHFdfodZ8hlcZL,"Faithless, Rollo Armstrong, Sister Bliss, Goetz",False,0.685,521973,2005-08-30,2005
5O9Ccpb5QPkZuBpX6iDdwU,Sky,IT IS WAT IT IS,7tt5jp4N6NZch4d41IIOUj,10kdunkin,True,0.628,109740,2020-04-09,2020
6QWg4i0o2vE5PeDi63OarV,"Capriccio sopra un tema della Niobe di Pacini (Caprice on a Theme from Pacini's Niobe), Op. 22",Piatti: Caprices for Solo Cello,2Easb8V529K45S6SgEjYE9,"Alfredo Piatti, Soo Bae",False,0.309,608547,2011-06-07,2011
3T5uB0ZlUZdbseiMNoHWmD,Dale Palo,PALO! Live,3qwp8sJnRhUm0gdYO0sWYq,PALO!,False,0.835,296000,2014-02-16,2014
6WeJxmNO9sOC291lqjnzO8,Hog Wild,Hog Wild,6jWgmPSn2Ytqbu9uq8vMYg,"Hank Williams, Jr.",False,0.701,213040,1995-01-24,1995
5VhDYAIGxYBsc8gxFgpZs2,De Nada,De Nada,3kQCLx84QtyjvetdWVblW2,"(dc), Masego",False,0.79,168193,2015-05-14,2015
1a5kDFgpBoM29ZM3NuflNN,1200 Sundays,Descending,5QasQUZx5jKfCFRdm7dAjd,"Tim Motzer, Markus Reuter",False,0.217,277520,2010-09-27,2010
1iZiUaEMTpcVF70yw6rk0V,A Shine on Your Head,Dummy Variations,47QjJgaSc8T6cbpBhdBo2p,Joseph Nothing,False,0.4529999999999999,239627,2001-02-19,2001
6scO1ipjFQ4BNxW5IDRAjl,Kaiserstrasse,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",3JFTUzonM2tLEFDL64o2iI,Ennio Morricone,False,0.13,165560,1996-04-23,1996
0h1aAVL7UFhYj1f8xfmMwN,Niet Of Nooit Geweest,Adem,6YQnL0M6jruuuSuppGh1rb,Acda en de Munnik,False,0.614,243227,2005-11-07,2005
2U8f5N5LYx768BAaH53XVT,"Chichester Psalms: I. Psalm 108:2 ""Urah, hanevel, v'chinor!"" - Psalm 100 ""Hariu l'Adonai kol haarets""",Leonard Bernstein: A Tribute,1eJRtW0lV5LPqT3mZVRilJ,"Leonard Bernstein, New York Philharmonic",False,0.379,209000,1990-12-14,1990
